num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,width,height,transparent,interlacing,collection,max image split,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,32,0.034736,0,0,0.000473,0.000376,0.112097,0.077373,0.067631,1769530800,0.113245
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,33,0.034838,0,0,0.000471,0.000215,0.123616,0.088787,0.076903,1730497848,0.124759
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,34,0.033705,0,0,0.000472,0.000155,0.112143,0.078448,0.068861,1706115312,0.113289
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,35,0.031005,0,0,0.000485,0.000372,0.087149,0.056153,0.045046,1669975944,0.088296
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,36,0.024497,0,0,0.00046,0.000257,0.086192,0.061703,0.051657,1778402848,0.087336
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,37,0.035976,0,0,0.000469,0.000296,0.114655,0.078688,0.069024,1860652440,0.115801
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,38,0.020691,0,0,0.000479,0.000503,0.106401,0.085721,0.077726,1452043000,0.107548
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,39,0.020363,0,0,0.000482,0.000499,0.078301,0.057947,0.048444,1414448864,0.079448
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,40,0.026205,0,0,0.000484,0.000276,0.082623,0.05643,0.045901,1744588200,0.083769
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,41,0.02036,0,0,0.000441,0.000285,0.10945,0.089102,0.080945,1415670928,0.110595
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,42,0.027829,0,0,0.000469,0.000153,0.084252,0.056433,0.04603,1544933032,0.085398
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,43,0.02729,0,0,0.000492,0.000384,0.082922,0.055642,0.045423,1632581416,0.08407
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,44,0.034525,0,0,0.000475,0.000351,0.113533,0.079016,0.069783,1796022600,0.114679
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,45,0.040983,0,0,0.000485,0.000304,0.119647,0.078675,0.06883,1901304312,0.120794
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,46,0.042111,0,0,0.000487,0.000254,0.102327,0.060226,0.048685,1817651360,0.103474
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,47,0.027274,0,0,0.000472,0.000508,0.082635,0.05537,0.045327,1706051736,0.083781
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,48,0.040818,0,0,0.000485,0.000206,0.122594,0.081785,0.072384,1790930024,0.123742
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,49,0.034068,0,0,0.000469,0.000213,0.097645,0.063587,0.052053,1921038712,0.09879
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,50,0.031314,0,0,0.000467,0.000327,0.11978,0.088476,0.078613,1654775696,0.120927
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,51,0.02554,0,0,0.000463,0.000246,0.081002,0.055472,0.045361,1742354504,0.082151
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,52,0.028963,0,0,0.000484,0.000416,0.106274,0.077321,0.068049,1698544928,0.107418
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,53,0.032362,0,0,0.000474,0.000225,0.09028,0.057927,0.047203,1738801160,0.091424
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,54,0.017096,0,0,0.000475,0.000494,0.077287,0.0602,0.051412,1225286264,0.078432
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,55,0.037202,0,0,0.000492,0.000111,0.0925,0.055305,0.045108,1572738520,0.093646
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,56,0.036364,0,0,0.000474,0.000421,0.12703,0.090674,0.081054,1933075720,0.128178
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,57,0.040296,0,0,0.000492,0.000143,0.119465,0.079179,0.069965,1741101456,0.120613
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,58,0.043027,0,0,0.00048,0.000288,0.124921,0.081904,0.071743,1878806168,0.12607
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,59,0.019704,0,0,0.000481,0.000504,0.077173,0.057478,0.047347,1294122760,0.078321
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,60,0.032207,0,0,0.000469,0.000495,0.120768,0.088571,0.07904,1808600208,0.121915
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,61,0.036616,0,0,0.000479,0.00021,0.131253,0.094647,0.083831,1929366672,0.132399
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,62,0.033271,0,0,0.000474,0.000508,0.120987,0.087723,0.077825,1865252960,0.122137
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,63,0.034784,0,0,0.000482,0.000312,0.111526,0.076751,0.067596,1674709488,0.112673
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,64,0.026066,0,0,0.000468,0.000257,0.106666,0.080607,0.071811,1552868080,0.107815
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,65,0.033283,0,0,0.000474,0.000158,0.124671,0.091396,0.082098,1771021552,0.125822
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,66,0.02494,0,0,0.000471,0.000183,0.078356,0.053426,0.04444,1155079088,0.079504
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,67,0.028767,0,0,0.000479,0.0005,0.11826,0.089502,0.079943,1786030424,0.119411
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,68,0.027538,0,0,0.000472,0.000247,0.085479,0.05795,0.048171,1429114608,0.086628
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,69,0.029752,0,0,0.00049,0.000517,0.106422,0.076679,0.067614,1658249496,0.10757
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,70,0.029624,0,0,0.000466,0.000274,0.084552,0.054937,0.045043,1632058560,0.085699
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,71,0.026878,0,0,0.000469,0.000498,0.116131,0.089261,0.077187,1843552768,0.117279
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,72,0.024109,0,0,0.000477,0.000503,0.080038,0.055937,0.045777,1686724584,0.081185
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,73,0.027498,0,0,0.00048,0.000168,0.083793,0.056304,0.04599,1526742888,0.08494
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,74,0.041604,0,0,0.000476,0.000288,0.099026,0.05743,0.046019,1921179952,0.100174
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,75,0.034859,0,0,0.000472,0.000403,0.114769,0.079917,0.069856,1732685128,0.115917
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,76,0.033419,0,0,0.000473,0.000314,0.093711,0.060305,0.048685,1783678656,0.094864
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,77,0.025625,0,0,0.000488,0.000206,0.083178,0.057562,0.047362,1238404680,0.084326
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,78,0.028712,0,0,0.00047,0.000193,0.108668,0.079965,0.069207,1887643432,0.109817
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,79,0.031645,0,0,0.000471,0.000511,0.125006,0.093371,0.081539,1913488752,0.126154
