num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,width,height,transparent,interlacing,collection,max image split,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time,Intrepid Mode
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,31,0.008282,0,0,0.000249,0.000259,0.026616,0.018343,0.01265,301609392,0.027153,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,32,0.010449,0,0,0.000244,0.000199,0.031652,0.021211,0.015262,338241928,0.032189,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,33,0.013698,0,0,0.000244,0.000118,0.039118,0.025428,0.01939,338357736,0.039655,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,34,0.011326,0,0,0.000244,8.8e-05,0.03287,0.021551,0.01577,327115336,0.033407,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,35,0.013126,0,0,0.000251,0.000198,0.029269,0.016151,0.010105,331189088,0.029807,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,36,0.009918,0,0,0.000237,0.000139,0.028161,0.018251,0.012239,353481808,0.028699,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,37,0.013366,0,0,0.000243,0.000159,0.034264,0.020906,0.014803,365274632,0.034802,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,38,0.008732,0,0,0.000248,0.000262,0.031169,0.022446,0.01688,293862856,0.031708,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,39,0.008331,0,0,0.000249,0.00026,0.024602,0.016279,0.010184,288793072,0.025141,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,40,0.010589,0,0,0.00025,0.00015,0.027252,0.016672,0.010581,343109408,0.027789,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,41,0.008799,0,0,0.000228,0.000152,0.033473,0.024683,0.01896,285693992,0.03401,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,42,0.008025,0,0,0.000243,8.7e-05,0.024082,0.016065,0.010454,290274936,0.024619,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,43,0.010431,0,0,0.000254,0.000203,0.02765,0.017226,0.011147,326013144,0.028187,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,44,0.010537,0,0,0.000245,0.000185,0.031902,0.021373,0.015569,343111584,0.03244,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,45,0.012302,0,0,0.000251,0.000163,0.033423,0.021129,0.015206,366264472,0.033959,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,46,0.012382,0,0,0.000251,0.000138,0.030092,0.017718,0.011736,348771304,0.030629,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,47,0.010091,0,0,0.000244,0.000265,0.026783,0.016701,0.010684,337982032,0.027321,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,48,0.012738,0,0,0.00025,0.000114,0.035427,0.022697,0.016726,345142272,0.035966,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,49,0.012696,0,0,0.000242,0.000118,0.030791,0.018104,0.011933,374900208,0.031329,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,50,0.011968,0,0,0.000242,0.000174,0.035692,0.023732,0.017742,321268184,0.036229,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,51,0.00989,0,0,0.000239,0.000133,0.026593,0.016711,0.010576,343657080,0.027131,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,52,0.008298,0,0,0.000242,0.000219,0.028888,0.020598,0.015038,323496120,0.029425,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,53,0.009838,0,0,0.000245,0.000123,0.025736,0.015907,0.010059,331368352,0.026274,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,54,0.007387,0,0,0.000245,0.000258,0.02521,0.017831,0.012289,251858256,0.025745,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,55,0.01016,0,0,0.000254,6.6e-05,0.027052,0.016899,0.011107,297040688,0.027588,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,56,0.012505,0,0,0.000245,0.000221,0.035235,0.022739,0.01668,374978720,0.035773,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,57,0.011287,0,0,0.000254,8.3e-05,0.032412,0.021134,0.015353,331490048,0.032948,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,58,0.014541,0,0,0.000248,0.000156,0.036647,0.022116,0.01606,365046016,0.037185,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,59,0.00838,0,0,0.000248,0.000263,0.024843,0.016471,0.010348,266191640,0.025382,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,60,0.009872,0,0,0.000243,0.000257,0.033962,0.024098,0.018306,349173528,0.034498,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,61,0.012293,0,0,0.000247,0.000117,0.036445,0.024159,0.018058,374254776,0.036983,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,62,0.012569,0,0,0.000245,0.000264,0.036007,0.023446,0.017417,366121960,0.036545,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,63,0.013241,0,0,0.000249,0.000166,0.034049,0.020816,0.01495,331604368,0.034585,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,64,0.007674,0,0,0.000243,0.000139,0.029875,0.022209,0.016514,291371624,0.030412,SMP
