num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,interlacing,collection,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time,IceT Version
2048,Sequential,radix-k 2,1,1,no,no,39,0.063604,0,0,0.000159,0.000273,0.115621,0.052019,0,866730720,0.115986,Original
2048,Sequential,radix-k 2,1,1,no,no,40,0.063759,0,0,0.000165,0.000302,0.120387,0.056631,0,1039327752,0.120757,Original
2048,Sequential,radix-k 2,1,1,no,no,41,0.052087,0,0,0.000157,0.000172,0.095478,0.043393,0,849757676,0.09584,Original
2048,Sequential,radix-k 2,1,1,no,no,42,0.060151,0,0,0.000154,0.000286,0.108832,0.048683,0,906421508,0.109194,Original
2048,Sequential,radix-k 2,1,1,no,no,43,0.070612,0,0,0.000167,0.000309,0.128934,0.058325,0,1001819828,0.129301,Original
2048,Sequential,radix-k 2,1,1,no,no,44,0.074606,0,0,0.000165,0.000307,0.131143,0.056538,0,1077450068,0.13151,Original
2048,Sequential,radix-k 2,1,1,no,no,45,0.094058,0,0,0.000169,0.000337,0.154402,0.060345,0,1157304388,0.154768,Original
2048,Sequential,radix-k 2,1,1,no,no,46,0.099845,0,0,0.000168,0.000342,0.158977,0.059134,0,1096407084,0.159341,Original
2048,Sequential,radix-k 2,1,1,no,no,47,0.077648,0,0,0.000157,0.000297,0.136252,0.058607,0,1063793016,0.136616,Original
2048,Sequential,radix-k 2,1,1,no,no,48,0.099575,0,0,0.000175,0.000341,0.156463,0.05689,0,1093037868,0.15683,Original
2048,Sequential,radix-k 2,1,1,no,no,49,0.078755,0,0,0.00017,0.000292,0.135108,0.056356,0,1168629132,0.135474,Original
2048,Sequential,radix-k 2,1,1,no,no,50,0.063742,0,0,0.00017,0.000272,0.117131,0.053391,0,977196356,0.117497,Original
2048,Sequential,radix-k 2,1,1,no,no,51,0.067624,0,0,0.000165,0.000258,0.118345,0.050722,0,1105001344,0.11871,Original
2048,Sequential,radix-k 2,1,1,no,no,52,0.062698,0,0,0.000155,0.000291,0.113999,0.051303,0,1033149520,0.114361,Original
2048,Sequential,radix-k 2,1,1,no,no,53,0.069496,0,0,0.000164,0.000301,0.124207,0.054712,0,1039467696,0.124573,Original
2048,Sequential,radix-k 2,1,1,no,no,54,0.053738,0,0,0.000156,0.000226,0.100647,0.046911,0,784588572,0.101014,Original
2048,Sequential,radix-k 2,1,1,no,no,55,0.083543,0,0,0.000171,0.000369,0.133492,0.049952,0,940723176,0.133855,Original
2048,Sequential,radix-k 2,1,1,no,no,56,0.080016,0,0,0.00017,0.000313,0.143427,0.063412,0,1176619356,0.143789,Original
2048,Sequential,radix-k 2,1,1,no,no,57,0.089823,0,0,0.000175,0.000372,0.144165,0.054344,0,1046548940,0.144533,Original
2048,Sequential,radix-k 2,1,1,no,no,58,0.113234,0,0,0.00017,0.000331,0.176462,0.06323,0,1146125380,0.17683,Original
2048,Sequential,radix-k 2,1,1,no,no,59,0.062224,0,0,0.000158,0.000186,0.111795,0.049573,0,803725196,0.11216,Original
2048,Sequential,radix-k 2,1,1,no,no,60,0.076431,0,0,0.000156,0.000294,0.132508,0.056079,0,1111254292,0.13287,Original
2048,Sequential,radix-k 2,1,1,no,no,61,0.088271,0,0,0.000171,0.000323,0.147733,0.059464,0,1170655812,0.1481,Original
2048,Sequential,radix-k 2,1,1,no,no,62,0.088009,0,0,0.00017,0.000306,0.154732,0.066724,0,1137132360,0.155098,Original
2048,Sequential,radix-k 2,1,1,no,no,63,0.10428,0,0,0.000174,0.000296,0.158195,0.053917,0,1036097932,0.15856,Original
2048,Sequential,radix-k 2,1,1,no,no,64,0.05657,0,0,0.000154,0.000284,0.106454,0.049886,0,914738172,0.106819,Original
