num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,interlacing,collection,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time,IceT Version
256,Sequential,radix-k 2,1,1,no,no,0,0.273684,0,0,0.00117,0.002232,0.491618,0.217936,0,502229952,0.491801,Original
256,Sequential,radix-k 2,1,1,no,no,1,0.343205,0,0,0.001234,0.002537,0.482054,0.138853,0,483794064,0.482237,Original
256,Sequential,radix-k 2,1,1,no,no,2,0.234136,0,0,0.001135,0.002188,0.381973,0.147839,0,489661000,0.38215,Original
256,Sequential,radix-k 2,1,1,no,no,3,0.339432,0,0,0.001248,0.002502,0.482737,0.143308,0,468118096,0.482918,Original
256,Sequential,radix-k 2,1,1,no,no,4,0.38873,0,0,0.001193,0.00233,0.534856,0.14613,0,509775716,0.535036,Original
256,Sequential,radix-k 2,1,1,no,no,5,0.201834,0,0,0.001155,0.002207,0.333453,0.131623,0,488401876,0.333634,Original
256,Sequential,radix-k 2,1,1,no,no,6,0.37675,0,0,0.001195,0.002519,0.51761,0.140865,0,517544380,0.517788,Original
256,Sequential,radix-k 2,1,1,no,no,7,0.374782,0,0,0.001243,0.00242,0.530912,0.156135,0,519755092,0.531088,Original
256,Sequential,radix-k 2,1,1,no,no,8,0.361333,0,0,0.001251,0.002739,0.496897,0.135566,0,465348472,0.497078,Original
256,Sequential,radix-k 2,1,1,no,no,9,0.220913,0,0,0.001158,0.002216,0.357575,0.136665,0,478836292,0.357752,Original
256,Sequential,radix-k 2,1,1,no,no,10,0.411136,0,0,0.001233,0.002665,0.572623,0.161492,0,518541924,0.572804,Original
256,Sequential,radix-k 2,1,1,no,no,11,0.259009,0,0,0.001157,0.002246,0.39402,0.135014,0,488819704,0.394198,Original
256,Sequential,radix-k 2,1,1,no,no,12,0.251074,0,0,0.001231,0.001889,0.375756,0.124689,0,445993456,0.375936,Original
256,Sequential,radix-k 2,1,1,no,no,13,0.222575,0,0,0.001156,0.001381,0.332567,0.109999,0,398764828,0.332746,Original
256,Sequential,radix-k 2,1,1,no,no,14,0.239847,0,0,0.001139,0.002192,0.381789,0.141946,0,519833900,0.381973,Original
256,Sequential,radix-k 2,1,1,no,no,15,0.201299,0,0,0.001125,0.002142,0.325131,0.123834,0,452175584,0.32531,Original
256,Sequential,radix-k 2,1,1,no,no,16,0.245133,0,0,0.001136,0.001183,0.347556,0.102424,0,393323212,0.347735,Original
256,Sequential,radix-k 2,1,1,no,no,17,0.360182,0,0,0.001197,0.00238,0.510516,0.150338,0,538527028,0.510693,Original
256,Sequential,radix-k 2,1,1,no,no,18,0.208367,0,0,0.001133,0.002145,0.324507,0.116145,0,430125232,0.324686,Original
256,Sequential,radix-k 2,1,1,no,no,19,0.205904,0,0,0.001183,0.00155,0.313312,0.107416,0,351599512,0.31349,Original
256,Sequential,radix-k 2,1,1,no,no,20,0.274592,0,0,0.001211,0.002284,0.416109,0.141524,0,503425436,0.416289,Original
256,Sequential,radix-k 2,1,1,no,no,21,0.320458,0,0,0.001216,0.002142,0.451488,0.131036,0,522813792,0.451664,Original
256,Sequential,radix-k 2,1,1,no,no,22,0.271066,0,0,0.001219,0.002265,0.409723,0.138665,0,483254768,0.409903,Original
256,Sequential,radix-k 2,1,1,no,no,23,0.363884,0,0,0.001283,0.00287,0.511893,0.148013,0,485144980,0.512073,Original
256,Sequential,radix-k 2,1,1,no,no,24,0.332827,0,0,0.001181,0.001425,0.449246,0.116423,0,417635316,0.449425,Original
256,Sequential,radix-k 2,1,1,no,no,25,0.358295,0,0,0.001241,0.00257,0.492546,0.134256,0,489104644,0.492725,Original
256,Sequential,radix-k 2,1,1,no,no,26,0.207676,0,0,0.001125,0.002213,0.331128,0.123458,0,395808876,0.331309,Original
256,Sequential,radix-k 2,1,1,no,no,27,0.341194,0,0,0.001232,0.00205,0.484114,0.142925,0,497621740,0.484292,Original
256,Sequential,radix-k 2,1,1,no,no,28,0.389881,0,0,0.001249,0.002033,0.52234,0.132464,0,466301220,0.52252,Original
256,Sequential,radix-k 2,1,1,no,no,29,0.267721,0,0,0.001211,0.001924,0.398049,0.130334,0,505667660,0.398228,Original
256,Sequential,radix-k 2,1,1,no,no,30,0.329012,0,0,0.001237,0.002307,0.474122,0.145116,0,541550972,0.4743,Original
256,Sequential,radix-k 2,1,1,no,no,31,0.242673,0,0,0.001156,0.002365,0.37401,0.13134,0,432351868,0.374188,Original
256,Sequential,radix-k 2,1,1,no,no,32,0.306397,0,0,0.001148,0.002265,0.449891,0.143498,0,483292376,0.450071,Original
256,Sequential,radix-k 2,1,1,no,no,33,0.280136,0,0,0.001243,0.002146,0.416696,0.136566,0,467755036,0.416875,Original
256,Sequential,radix-k 2,1,1,no,no,34,0.281102,0,0,0.001224,0.002215,0.419451,0.138351,0,477366128,0.41963,Original
256,Sequential,radix-k 2,1,1,no,no,35,0.267714,0,0,0.001254,0.002092,0.411791,0.144079,0,449488224,0.41197,Original
256,Sequential,radix-k 2,1,1,no,no,36,0.255419,0,0,0.001199,0.001823,0.385645,0.130233,0,500016068,0.385825,Original
256,Sequential,radix-k 2,1,1,no,no,37,0.366574,0,0,0.001236,0.002158,0.507224,0.140656,0,505299192,0.507405,Original
256,Sequential,radix-k 2,1,1,no,no,38,0.24161,0,0,0.00114,0.002086,0.368942,0.127337,0,413579560,0.369121,Original
256,Sequential,radix-k 2,1,1,no,no,39,0.246252,0,0,0.001148,0.002049,0.376246,0.129998,0,390277980,0.376427,Original
256,Sequential,radix-k 2,1,1,no,no,40,0.242716,0,0,0.001203,0.00228,0.37842,0.135709,0,473687328,0.3786,Original
256,Sequential,radix-k 2,1,1,no,no,41,0.195638,0,0,0.001134,0.001245,0.300384,0.104749,0,394898636,0.300561,Original
256,Sequential,radix-k 2,1,1,no,no,42,0.232393,0,0,0.001126,0.002149,0.355708,0.123318,0,414436700,0.355886,Original
