num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,interlacing,collection,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time
64,Sequential,radix-k 2,1,1,yes,no,41,0.502391,0,0,0.004463,0.001326,0.58556,0.083171,0,228130112,0.585715
64,Sequential,radix-k 2,1,1,yes,no,42,0.447347,0,0,0.004432,0.007181,0.522993,0.075648,0,240694488,0.52315
64,Sequential,radix-k 2,1,1,yes,no,43,0.595147,0,0,0.004782,0.007064,0.692075,0.096932,0,277481448,0.692231
64,Sequential,radix-k 2,1,1,yes,no,44,0.601343,0,0,0.004734,0.006863,0.695316,0.093976,0,249113360,0.695473
64,Sequential,radix-k 2,1,1,yes,no,45,0.703166,0,0,0.004839,0.007998,0.805508,0.102346,0,273870096,0.805665
64,Sequential,radix-k 2,1,1,yes,no,46,0.719938,0,0,0.00479,0.008956,0.817171,0.097236,0,286591472,0.817329
64,Sequential,radix-k 2,1,1,yes,no,47,0.574579,0,0,0.004476,0.007749,0.667612,0.093036,0,255360016,0.667769
64,Sequential,radix-k 2,1,1,yes,no,48,0.731316,0,0,0.004988,0.00742,0.82888,0.097567,0,277840888,0.829039
64,Sequential,radix-k 2,1,1,yes,no,49,0.708116,0,0,0.004837,0.005816,0.818019,0.109907,0,290690712,0.818176
64,Sequential,radix-k 2,1,1,yes,no,50,0.674528,0,0,0.004842,0.00463,0.766431,0.091905,0,270491616,0.766586
64,Sequential,radix-k 2,1,1,yes,no,51,0.556912,0,0,0.004727,0.004404,0.654686,0.097777,0,277224128,0.654842
64,Sequential,radix-k 2,1,1,yes,no,52,0.470638,0,0,0.004459,0.007306,0.555858,0.085223,0,240465632,0.556014
64,Sequential,radix-k 2,1,1,yes,no,53,0.569184,0,0,0.004716,0.006639,0.659411,0.090228,0,239928592,0.659567
64,Sequential,radix-k 2,1,1,yes,no,54,0.411597,0,0,0.004416,0.00425,0.486938,0.075345,0,214508832,0.487094
64,Sequential,radix-k 2,1,1,yes,no,55,0.584371,0,0,0.004871,0.009408,0.6653,0.080933,0,225689736,0.665456
64,Sequential,radix-k 2,1,1,yes,no,56,0.707616,0,0,0.004865,0.006567,0.813282,0.105668,0,274011368,0.813437
64,Sequential,radix-k 2,1,1,yes,no,57,0.647659,0,0,0.004982,0.009007,0.737869,0.090212,0,253550248,0.738025
64,Sequential,radix-k 2,1,1,yes,no,58,0.829665,0,0,0.004857,0.007818,0.937286,0.107625,0,298044672,0.937442
64,Sequential,radix-k 2,1,1,yes,no,59,0.481103,0,0,0.004472,0.001903,0.554912,0.07381,0,197405544,0.555069
64,Sequential,radix-k 2,1,1,yes,no,60,0.563679,0,0,0.00449,0.007514,0.659365,0.095687,0,260731288,0.659519
64,Sequential,radix-k 2,1,1,yes,no,61,0.70685,0,0,0.004878,0.007156,0.812362,0.105515,0,285062144,0.812518
